staffID,animalID,dateTime,care,notes
sid,aid,15-10-1931 9:15:24,vaccine,NIug
1,1,18-2-1972 21:1:52,desex,XSpRvVWYjEoHEmZPyuz
2,2,5-12-1925 15:53:46,surgery,kIkjzemUq
3,3,24-8-1925 1:27:6,amputation,ghTUIBKTTGAZjtHI
4,4,24-10-1995 22:3:24,euthenisation,pl
5,5,11-4-1990 22:5:33,belly rub,guQADooJnLL
6,6,3-12-1939 13:30:0,brush,SslACAPmGCevkAD
7,7,25-2-1943 14:30:50,shower,PeI
8,8,18-1-2010 17:9:42,play,hXpuPmP
9,9,11-10-1998 17:39:14,bottle feed,tEeZQN
10,10,3-2-1961 21:30:44,heart translant,dgexaiR
sid,11,4-7-1935 6:5:40,liver transplant,gnrJK
1,12,19-2-2009 23:22:59,eye transplant,wcyeZJq
2,13,5-1-1991 22:50:19,therapy,QNMCNOE
3,14,25-11-1973 22:23:28,alien abduction,rIGMzWVX
4,15,10-1-1961 11:15:39,government study,MFUdHF
5,16,26-1-1936 21:43:16,university study,mnpCguNOebziYxTToDsN
6,17,4-4-2020 15:1:10,stiches,koBiCRCbBEnJqjJcWiGL
7,18,27-7-1952 23:8:17,heat stroke,E
8,19,4-3-1994 18:25:38,regular checkup,qtvVDFF
9,20,5-1-1992 19:19:4,vaccine,rvNKG
10,21,22-2-1963 22:2:19,desex,rzfpWmCUpvtyEZTEUJm
sid,22,28-12-1967 4:5:11,surgery,LGwXY
1,23,28-10-1964 12:24:47,amputation,hMikAvVGjftoPwVhT
2,24,10-6-1965 21:25:54,euthenisation,bwipOkJmTH
3,25,20-5-2010 21:0:35,belly rub,XHaWLbZc
4,26,17-2-1966 6:18:35,brush,tANZYOLuwyTwUjNPjI
5,27,2-11-1942 23:8:54,shower,pfYvusOArDUzAPUoRDDQ
6,28,3-9-2016 15:41:15,play,Ro
7,29,16-1-1959 7:57:56,bottle feed,BiWSQvhzCfWXU
8,30,10-2-1947 9:44:51,heart translant,saBVvRjm
9,aid,5-10-1975 0:14:35,liver transplant,ulKsznIC
10,1,11-4-2005 15:30:29,eye transplant,nkshRHkPCQDnMUhg
sid,2,19-5-2010 19:10:16,therapy,aqkrhLLFYONFNhEyH
1,3,11-12-2021 22:32:28,alien abduction,pfkISumN
2,4,11-5-1965 18:43:23,government study,OCu
3,5,10-4-1958 9:19:29,university study,rXOyhLA
4,6,11-11-2023 14:52:24,stiches,pWkMBjrSb
5,7,23-6-1939 18:38:14,heat stroke,rUkAHs
6,8,5-7-1928 7:46:59,regular checkup,EQzoqUYNjxNVlQTaCvyF
7,9,21-12-1983 6:3:8,vaccine,VzpurbDerwyeAK
8,10,8-9-1980 21:26:9,desex,kJmhIOar
9,11,8-2-1988 1:20:1,surgery,KwsjlDPLIRROWfVy
10,12,10-10-1995 16:19:19,amputation,OOVnJIsOpkj
sid,13,24-4-2024 19:23:32,euthenisation,DNluXfsEEEQO
1,14,13-8-2021 11:13:35,belly rub,xxmrNdt
2,15,2-6-1948 6:56:7,brush,hqmlJpsOuw
3,16,8-2-1945 19:10:9,shower,zRBfWOFdz
4,17,23-2-1964 7:26:34,play,hTQOXmNxKmwvP
5,18,20-9-1987 0:11:29,bottle feed,DRcbynLrlWamxAC
