staffID,animalID,dateTime,care,notes
1,1,1967-2-6 19:22:52,desex,phdLkfoChLEOYXmvo
2,2,2021-1-22 06:12:07,surgery,aXhVvgiFvRqiSvOdzpSf
3,3,1927-12-20 17:59:11,amputation,tVDAYfFYuNIHcDAGUisV
4,4,1957-5-5 08:19:11,euthenisation,qiba
5,5,2012-9-2 03:39:37,belly rub,GznYdPqQG
6,6,1961-10-16 00:55:57,brush,MAHiOqQnuOMfz
7,7,1929-7-15 10:22:29,shower,AfeeGhuLJayn
8,8,1941-11-9 20:53:17,play,tABKcJcKvABN
9,9,1987-2-27 23:31:29,bottle feed,rwUxpZsywyQEJLYusX
10,10,1978-11-28 00:53:16,heart translant,sloeRJWYwEnRTs
1,11,1929-12-5 10:01:01,liver transplant,IaDdgBpanXLxADiOWO
2,12,1983-2-21 14:44:58,eye transplant,iUuKDWbMBVYDPVB
3,13,1976-5-27 05:27:54,therapy,bYvEGlBiDnIJELL
4,14,2010-3-3 04:40:00,alien abduction,XGFFqViBkqSFL
5,15,1936-12-26 04:02:49,government study,bTlaYWCGKyRaGINibjiK
6,16,2017-2-12 15:19:50,university study,MVLmt
7,17,1951-12-1 02:08:02,stiches,TwAbxY
8,18,1968-4-13 15:14:22,heat stroke,KPUTlGWEALc
9,19,1929-11-6 21:51:12,regular checkup,ZNoBIMtVMzUHHpPKMwYX
10,20,2018-12-13 15:15:26,desex,PkMufViJBVKbmMtM
1,21,2022-7-2 14:26:52,surgery,JDYVuDQyibHRFGX
2,22,1929-8-7 08:07:40,amputation,DxYupbsGZUUBDFoCN
3,23,1980-11-26 12:20:35,euthenisation,jk
4,24,2000-7-2 14:20:30,belly rub,gTpeq
5,25,1949-2-12 17:55:50,brush,nXwksBHFKhS
6,26,1994-4-25 07:12:19,shower,AfpB
7,27,2003-6-23 05:18:14,play,yIdcaQdusVqiDP
8,28,1978-1-4 23:13:45,bottle feed,fyoyLcCXdZZyWVo
9,29,1941-2-13 20:41:46,heart translant,WnitupaPRtNuv
10,30,1936-8-1 06:51:56,liver transplant,LxWIrrqHJPIwhU
1,1,1973-4-1 09:07:09,eye transplant,kieQFoHMIdwBZJauAlZ
2,2,1989-5-13 00:06:37,therapy,AWCzOTVkTRrMGmCfm
3,3,1967-8-25 08:21:40,alien abduction,xQSfByPuH
4,4,1926-10-15 02:56:50,government study,tKijhb
5,5,1969-7-24 04:03:37,university study,yoUUBxpqDlDcnt
6,6,1949-9-21 02:03:36,stiches,jGZMg
7,7,1950-12-3 23:34:15,heat stroke,CZUGCOjWZEIRmMqBn
8,8,1965-7-10 02:54:57,regular checkup,mJken
9,9,1944-6-27 05:48:36,desex,Zwoc
10,10,2009-6-6 04:18:09,surgery,fnUIawer
1,11,2003-8-23 03:38:16,amputation,TNB
2,12,1975-5-5 16:57:50,euthenisation,TrKKekWQDnBDkGYp
3,13,1966-9-13 08:24:40,belly rub,e
4,14,1983-10-21 12:20:58,brush,SEzgkprEaJ
5,15,1943-12-4 18:44:50,shower,gxYmmvemUkIgPKVWZf
6,16,1969-5-20 01:00:51,play,lxIeDSbrQscv
7,17,1935-12-19 12:58:20,bottle feed,jkxgulcWOczRhDCqV
8,18,1988-8-25 13:51:00,heart translant,sxQd
9,19,1951-2-12 13:06:37,liver transplant,nxXyOfZoPXB
10,20,1979-10-21 20:30:02,eye transplant,jfxaKoOBsEBpcjjnbRE
