staffID,animalID,dateTime,amount,foodType
1,1,1980-6-5 00:46:49,65.50,fruits
2,2,1983-7-5 05:15:18,8.36,nuts
3,3,1938-4-4 09:03:43,756.5,vegies
4,4,1933-10-10 00:31:36,7.8,chicken
5,5,1979-10-1 15:09:56,7.80,lamb
6,6,2001-2-17 00:27:41,1.54,beef
7,7,1986-2-3 11:32:32,35.7,pork
8,8,2012-9-17 13:38:48,5.6,tallow
9,9,1981-1-1 07:01:38,838.31,fish
10,10,2014-7-2 10:36:54,2.27,apples
1,11,1941-3-27 21:52:35,51.6,bananas
2,12,1963-7-10 17:01:12,5.7,manderin
3,13,1935-5-28 17:28:32,22.9,orange
4,14,1987-10-16 09:29:31,3.7,mango
5,15,2010-9-22 00:47:54,78.2,carrot
6,16,2009-12-2 10:08:03,3.51,brocoli
7,17,1988-9-1 00:41:15,4.98,onions
8,18,1933-9-4 11:39:34,9.72,grain
9,19,1959-4-3 23:58:43,954.82,bread
10,20,1961-9-16 11:22:50,3.41,worms
1,21,1987-5-25 01:28:54,7.56,insects
2,22,2015-12-20 16:34:09,64.7,tea
3,23,1970-2-5 02:05:02,466.3,water
4,24,1983-9-8 17:43:53,24.9,juice
5,25,1929-12-23 20:30:07,9.4,spinach
6,26,1954-10-23 13:56:29,516.3,cheries
7,27,1954-11-7 12:56:07,9.4,coconut
8,28,2022-3-9 16:30:12,4.9,marlin
9,29,1964-8-17 07:03:11,975.2,tuna
10,30,2014-11-25 08:28:06,549.2,snapper
1,1,1983-2-7 20:28:05,5.79,mutton
2,2,2005-7-1 12:00:50,52.79,Zoo Keeper
3,3,1953-8-8 03:39:45,86.34,fruits
4,4,1995-1-18 03:06:57,3.18,nuts
5,5,2000-5-23 08:36:31,20.3,vegies
6,6,2011-10-5 10:18:34,81.1,chicken
7,7,1975-1-6 00:52:56,37.69,lamb
8,8,2005-12-16 11:58:49,5.85,beef
9,9,1970-3-4 03:48:59,3.78,pork
10,10,2000-4-9 20:08:22,248.1,tallow
1,11,1977-9-9 17:19:15,55.9,fish
2,12,1980-11-6 13:16:20,26.9,apples
3,13,2022-6-2 18:47:15,91.6,bananas
4,14,1956-5-23 04:01:42,4.2,manderin
5,15,2001-3-27 04:34:37,1.79,orange
6,16,2013-3-11 12:52:18,4.8,mango
7,17,1993-9-6 17:38:30,6.5,carrot
8,18,1966-11-11 22:35:28,81.6,brocoli
9,19,2003-3-5 14:01:12,1.27,onions
10,20,2010-1-20 07:42:24,213.61,grain
